timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676755334355,1143,NikonUKHomepage,200,OK,Nion UK run-3 1-5,text,true,,118984,238,20,20,https://www.nikon.co.uk/en_GB/,235,0,0
1676755334355,235,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-5,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,235,0,0
1676755334590,908,NikonUKHomepage-1,200,OK,Nion UK run-3 1-5,text,true,,118752,119,20,20,https://www.nikon.co.uk/en_GB/,465,0,0
1676755335103,1075,NikonUKHomepage,200,OK,Nion UK run-3 1-11,text,true,,118949,238,20,20,https://www.nikon.co.uk/en_GB/,235,0,0
1676755335103,235,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-11,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,235,0,0
1676755335339,839,NikonUKHomepage-1,200,OK,Nion UK run-3 1-11,text,true,,118717,119,20,20,https://www.nikon.co.uk/en_GB/,397,0,0
1676755331659,5325,Nikon Z-30,200,OK,Nion UK run-3 1-4,text,true,,186128,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,250,0,0
1676755331659,250,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-4,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,250,0,0
1676755331909,5075,Nikon Z-30-1,200,OK,Nion UK run-3 1-4,text,true,,185875,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,4856,0,0
1676755332154,4915,Nikon Z-30,200,OK,Nion UK run-3 1-19,text,true,,186162,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,240,0,0
1676755332154,240,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-19,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,240,0,0
1676755332394,4675,Nikon Z-30-1,200,OK,Nion UK run-3 1-19,text,true,,185909,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,4546,0,0
1676755332299,4772,Nikon Z-30,200,OK,Nion UK run-3 1-3,text,true,,186117,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,250,0,0
1676755332299,250,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-3,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,250,0,0
1676755332549,4522,Nikon Z-30-1,200,OK,Nion UK run-3 1-3,text,true,,185864,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,4385,0,0
1676755332422,8961,Nikon Z-30,200,OK,Nion UK run-3 1-7,text,true,,186170,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,236,0,0
1676755332422,236,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-7,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,236,0,0
1676755332658,8725,Nikon Z-30-1,200,OK,Nion UK run-3 1-7,text,true,,185917,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,8611,0,0
1676755332225,9197,Nikon Z-30,200,OK,Nion UK run-3 1-8,text,true,,186120,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,237,0,0
1676755332225,237,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-8,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,237,0,0
1676755332462,8960,Nikon Z-30-1,200,OK,Nion UK run-3 1-8,text,true,,185867,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,8788,0,0
1676755333677,7849,Nikon Z-30,200,OK,Nion UK run-3 1-14,text,true,,186142,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,222,0,0
1676755333677,222,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-14,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,222,0,0
1676755333899,7627,Nikon Z-30-1,200,OK,Nion UK run-3 1-14,text,true,,185889,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,7464,0,0
1676755337070,4567,NikonUKHomepage,200,OK,Nion UK run-3 1-19,text,true,,118689,238,20,20,https://www.nikon.co.uk/en_GB/,253,0,0
1676755337070,253,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-19,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,253,0,0
1676755337324,4313,NikonUKHomepage-1,200,OK,Nion UK run-3 1-19,text,true,,118457,119,20,20,https://www.nikon.co.uk/en_GB/,4291,0,0
1676755332599,9126,Nikon Z-30,200,OK,Nion UK run-3 1-18,text,true,,186141,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,237,0,0
1676755332599,237,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-18,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,237,0,0
1676755332838,8887,Nikon Z-30-1,200,OK,Nion UK run-3 1-18,text,true,,185888,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,8804,0,0
1676755332641,9257,Nikon Z-30,200,OK,Nion UK run-3 1-20,text,true,,186121,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,246,0,0
1676755332641,246,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-20,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,246,0,0
1676755332888,9010,Nikon Z-30-1,200,OK,Nion UK run-3 1-20,text,true,,185868,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,8826,0,0
1676755336985,5269,NikonUKHomepage,200,OK,Nion UK run-3 1-4,text,true,,118888,238,20,20,https://www.nikon.co.uk/en_GB/,239,0,0
1676755336985,239,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-4,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,239,0,0
1676755337224,5030,NikonUKHomepage-1,200,OK,Nion UK run-3 1-4,text,true,,118656,119,20,20,https://www.nikon.co.uk/en_GB/,4956,0,0
1676755337072,5199,NikonUKHomepage,200,OK,Nion UK run-3 1-3,text,true,,118894,238,20,20,https://www.nikon.co.uk/en_GB/,237,0,0
1676755337072,237,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-3,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,237,0,0
1676755337310,4961,NikonUKHomepage-1,200,OK,Nion UK run-3 1-3,text,true,,118662,119,20,20,https://www.nikon.co.uk/en_GB/,4848,0,0
